2026-08-26 09:11:41,583 | INFO     | web_demo.http | 127.0.0.1:49509 - "GET / HTTP/1.1" 200 -
2026-08-26 09:11:42,475 | INFO     | web_demo.http | 127.0.0.1:49267 - "GET / HTTP/1.1" 200 -
2026-08-26 09:11:42,514 | INFO     | web_demo.http | 127.0.0.1:52580 - "GET /app.js HTTP/1.1" 200 -
2026-08-26 09:11:42,526 | INFO     | web_demo.http | 127.0.0.1:55958 - "GET /style.css HTTP/1.1" 200 -
2026-08-26 09:11:42,548 | INFO     | web_demo.http | 127.0.0.1:51167 - "POST /api/browser-session/register HTTP/1.1" 200 -
2026-08-26 09:11:42,642 | INFO     | web_demo.http | 127.0.0.1:56838 - "GET /api/clip/presets HTTP/1.1" 200 -
2026-08-26 09:11:42,643 | INFO     | web_demo.http | 127.0.0.1:53894 - "GET /favicon.ico HTTP/1.1" 404 -
2026-08-26 09:11:42,666 | INFO     | web_demo.http | 127.0.0.1:62088 - "GET /api/config HTTP/1.1" 200 -
2026-08-26 09:11:42,675 | INFO     | web_demo.http | 127.0.0.1:56325 - "GET /api/prompt-config/image HTTP/1.1" 200 -
2026-08-26 09:11:42,681 | INFO     | web_demo.http | 127.0.0.1:63645 - "GET /api/prompt-config/image_edit HTTP/1.1" 200 -
2026-08-26 09:11:42,686 | INFO     | web_demo.http | 127.0.0.1:56912 - "GET /api/prompt-config/video HTTP/1.1" 200 -
2026-08-26 09:11:42,691 | INFO     | web_demo.http | 127.0.0.1:64276 - "GET /api/comfy/config HTTP/1.1" 200 -
2026-08-26 09:11:42,730 | INFO     | web_demo.http | 127.0.0.1:65428 - "GET /api/comfy/templates HTTP/1.1" 200 -
2026-08-26 09:11:47,645 | INFO     | web_demo.http | 127.0.0.1:54788 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-26 09:11:52,650 | INFO     | web_demo.http | 127.0.0.1:53446 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-26 09:11:57,641 | INFO     | web_demo.http | 127.0.0.1:57423 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-26 09:11:58,435 | INFO     | web_demo.http | 127.0.0.1:54212 - "POST /api/browser-session/close HTTP/1.1" 200 -
2026-08-26 09:11:58,468 | INFO     | web_demo.http | 127.0.0.1:51542 - "POST /api/browser-session/close HTTP/1.1" 200 -
2026-08-28 09:17:44,099 | INFO     | web_demo.http | 127.0.0.1:62096 - "GET / HTTP/1.1" 200 -
2026-08-28 09:17:44,454 | INFO     | web_demo.http | 127.0.0.1:62098 - "GET / HTTP/1.1" 200 -
2026-08-28 09:17:45,008 | INFO     | web_demo.http | 127.0.0.1:50060 - "GET / HTTP/1.1" 200 -
2026-08-28 09:17:45,014 | INFO     | web_demo.http | 127.0.0.1:64236 - "GET / HTTP/1.1" 200 -
2026-08-28 09:17:45,065 | INFO     | web_demo.http | 127.0.0.1:63533 - "GET /app.js HTTP/1.1" 200 -
2026-08-28 09:17:45,068 | INFO     | web_demo.http | 127.0.0.1:55967 - "GET /app.js HTTP/1.1" 200 -
2026-08-28 09:17:45,073 | INFO     | web_demo.http | 127.0.0.1:52720 - "GET /style.css HTTP/1.1" 200 -
2026-08-28 09:17:45,078 | INFO     | web_demo.http | 127.0.0.1:50060 - "GET /style.css HTTP/1.1" 200 -
2026-08-28 09:17:45,088 | INFO     | web_demo.http | 127.0.0.1:53546 - "POST /api/browser-session/register HTTP/1.1" 200 -
2026-08-28 09:17:45,089 | INFO     | web_demo.http | 127.0.0.1:49884 - "POST /api/browser-session/register HTTP/1.1" 200 -
2026-08-28 09:17:45,182 | INFO     | web_demo.http | 127.0.0.1:55349 - "GET /api/clip/presets HTTP/1.1" 200 -
2026-08-28 09:17:45,183 | INFO     | web_demo.http | 127.0.0.1:55812 - "GET /favicon.ico HTTP/1.1" 404 -
2026-08-28 09:17:45,183 | INFO     | web_demo.http | 127.0.0.1:53459 - "GET /api/clip/presets HTTP/1.1" 200 -
2026-08-28 09:17:45,184 | INFO     | web_demo.http | 127.0.0.1:50431 - "GET /favicon.ico HTTP/1.1" 404 -
2026-08-28 09:17:45,203 | INFO     | web_demo.http | 127.0.0.1:62342 - "GET /api/config HTTP/1.1" 200 -
2026-08-28 09:17:45,211 | INFO     | web_demo.http | 127.0.0.1:65171 - "GET /api/prompt-config/image HTTP/1.1" 200 -
2026-08-28 09:17:45,215 | INFO     | web_demo.http | 127.0.0.1:59890 - "GET /api/prompt-config/image_edit HTTP/1.1" 200 -
2026-08-28 09:17:45,220 | INFO     | web_demo.http | 127.0.0.1:58360 - "GET /api/prompt-config/video HTTP/1.1" 200 -
2026-08-28 09:17:45,224 | INFO     | web_demo.http | 127.0.0.1:64446 - "GET /api/comfy/config HTTP/1.1" 200 -
2026-08-28 09:17:45,225 | INFO     | web_demo.http | 127.0.0.1:61909 - "GET /api/config HTTP/1.1" 200 -
2026-08-28 09:17:45,231 | INFO     | web_demo.http | 127.0.0.1:50288 - "GET /api/prompt-config/image HTTP/1.1" 200 -
2026-08-28 09:17:45,234 | INFO     | web_demo.http | 127.0.0.1:55432 - "GET /api/prompt-config/image_edit HTTP/1.1" 200 -
2026-08-28 09:17:45,238 | INFO     | web_demo.http | 127.0.0.1:62738 - "GET /api/prompt-config/video HTTP/1.1" 200 -
2026-08-28 09:17:45,241 | INFO     | web_demo.http | 127.0.0.1:62536 - "GET /api/comfy/config HTTP/1.1" 200 -
2026-08-28 09:17:45,249 | INFO     | web_demo.http | 127.0.0.1:51683 - "GET /api/comfy/templates HTTP/1.1" 200 -
2026-08-28 09:17:45,255 | INFO     | web_demo.http | 127.0.0.1:53216 - "GET /api/comfy/templates HTTP/1.1" 200 -
2026-08-28 09:17:50,184 | INFO     | web_demo.http | 127.0.0.1:53238 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-28 09:17:50,269 | INFO     | web_demo.http | 127.0.0.1:57823 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-28 09:17:55,185 | INFO     | web_demo.http | 127.0.0.1:63146 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-28 09:17:55,263 | INFO     | web_demo.http | 127.0.0.1:51984 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-28 09:18:00,184 | INFO     | web_demo.http | 127.0.0.1:59356 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-28 09:18:00,266 | INFO     | web_demo.http | 127.0.0.1:57228 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-28 09:18:05,196 | INFO     | web_demo.http | 127.0.0.1:52661 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-28 09:18:05,273 | INFO     | web_demo.http | 127.0.0.1:52084 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-28 09:18:10,275 | INFO     | web_demo.http | 127.0.0.1:57665 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-28 09:18:10,276 | INFO     | web_demo.http | 127.0.0.1:58654 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-28 09:18:15,261 | INFO     | web_demo.http | 127.0.0.1:57401 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-28 09:18:15,276 | INFO     | web_demo.http | 127.0.0.1:62091 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-28 09:18:20,266 | INFO     | web_demo.http | 127.0.0.1:57023 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-28 09:18:20,267 | INFO     | web_demo.http | 127.0.0.1:49548 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-28 09:18:25,274 | INFO     | web_demo.http | 127.0.0.1:62997 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-28 09:18:25,274 | INFO     | web_demo.http | 127.0.0.1:56320 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-28 09:18:30,275 | INFO     | web_demo.http | 127.0.0.1:52158 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-28 09:18:30,275 | INFO     | web_demo.http | 127.0.0.1:65340 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-28 09:18:35,268 | INFO     | web_demo.http | 127.0.0.1:55349 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-28 09:18:35,269 | INFO     | web_demo.http | 127.0.0.1:49359 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-28 09:18:40,171 | INFO     | web_demo.http | 127.0.0.1:50902 - "POST /api/app/terminate HTTP/1.1" 200 -
2026-08-28 09:31:55,377 | INFO     | web_demo.http | 127.0.0.1:49367 - "GET / HTTP/1.1" 200 -
2026-08-28 09:31:55,753 | INFO     | web_demo.http | 127.0.0.1:55349 - "GET / HTTP/1.1" 200 -
2026-08-28 09:31:55,784 | INFO     | web_demo.http | 127.0.0.1:56800 - "GET /app.js HTTP/1.1" 200 -
